C.D.S.  -  SIMBAD4 rel 1.7  -  2019.06.04CEST09:05:31

2018ApJ...863...91F2018ApJ...863...91F
--------------------------------------

2018ApJ...863...91F
10.3847/1538-4357/aac76e

Astrophys. J., 863, 91-91 (2018/August-2)
New and known moving groups and clusters identified in a Gaia comoving catalog.
FAHERTY J.K., BOCHANSKI J.J., GAGNE J., NELSON O., COKER K., SMITHKA I.,
DESIR D. and VASQUEZ C.

-Status: waiting for electronic table
-Files: (abstract)

Number of objects : 289

 # 	 obj tags 	obj count	           identifier           	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
---	----------	---------	--------------------------------	---	---------------------------------------	------	------	------	------	------	---------------	----	----
156	d         	        1	CPD-65 828                      	PM*	07 50 13.4988254099 -65 21 31.894880765	     ~	10.95 	10.38 	     ~	     ~	~              	   2	   0
157	d         	        1	NGC 2516                        	OpC	07 58 04.0 -60 45 12                   	     ~	 3.84 	 3.8  	     ~	     ~	~              	 570	   0
158	d         	        1	BD+14 1876                      	PM*	08 20 55.3292836417 +14 04 16.799389875	12.332	11.068	 9.748	 8.953	 8.265	M0V            	  44	   0
159	d         	        1	BD+45 1575a                     	PM*	08 24 13.2265547707 +44 56 45.328463384	     ~	10.09 	 9.17 	 8.6  	 8.2  	K2V            	  29	   0
160	d         	        1	HD 70516                        	PM*	08 24 15.6562755632 +44 56 58.960185580	     ~	 8.31 	 7.70 	 7.3  	 7.0  	G2V            	  60	   0
161	dx        	        2	NGC 2632                        	OpC	08 40 24.0 +19 40 00                   	     ~	 3.46 	 3.1  	     ~	     ~	~              	1157	   0
162	cdx       	        7	NAME eta Cha Association        	MGr	08 42 06.0 -79 01 36                   	     ~	     ~	     ~	     ~	     ~	~              	 293	   0
163	d         	        1	TYC 8930-1213-1                 	*  	08 44 15.9631543526 -62 30 50.613677390	     ~	11.74 	11.16 	     ~	     ~	~              	   2	   0
164	d         	        1	HD 75541                        	** 	08 47 10.27970 -63 48 45.3539          	     ~	 8.75 	 8.96 	 8.53 	     ~	A0V            	   6	   0
165	d         	        1	TYC 8930-1190-1                 	*  	08 48 12.0041928216 -63 21 12.138411934	     ~	12.46 	11.34 	     ~	     ~	~              	   3	   0
166	d         	        1	TYC 8930-2088-1                 	*  	08 49 06.3163130818 -63 04 04.811498877	     ~	11.68 	11.10 	     ~	     ~	~              	   3	   0
167	d         	        1	HD 77033                        	*  	08 56 42.2775119603 -63 02 54.447846458	     ~	 7.13 	 7.18 	     ~	     ~	B8/9Vn         	   7	   0
168	d         	        1	TYC 8931-646-1                  	*  	09 00 05.1492128583 -63 17 11.574255403	     ~	12.28 	11.79 	     ~	     ~	~              	   2	   0
169	d         	        1	HD 77175                        	** 	09 01 17.46988 +15 15 56.7433          	     ~	     ~	     ~	     ~	     ~	K5+K5          	  46	   0
170	cd        	        6	Cl Platais 8                    	OpC	09 09 30.0 -59 07 42                   	     ~	     ~	     ~	     ~	     ~	~              	  41	   0
171	d         	        1	NAME HIP 45189 Cluster          	MGr	09 13 47.0 -43 44 24                   	     ~	     ~	     ~	     ~	     ~	~              	  28	   0
172	d         	        1	HD 80563                        	PM*	09 17 34.1405319720 -63 23 14.510391232	     ~	 8.74 	 8.31 	     ~	     ~	F3V            	  22	   0
173	d         	        1	HD 80526                        	*  	09 19 00.6516642787 -43 24 31.246468322	     ~	10.64 	10.09 	     ~	     ~	F5V            	   4	   0
174	d         	        1	HD 297439                       	Ro*	09 23 17.3779707244 -50 13 47.360310388	     ~	10.50 	 9.821	     ~	 9.148	G0             	   5	   0
175	d         	        1	HD 82406                        	PM*	09 28 30.5391266456 -66 42 06.688709000	     ~	 5.904	 5.886	     ~	     ~	A0V            	  25	   0
176	d         	        1	HD 82664                        	*  	09 31 35.1082476256 -51 15 06.871954832	 8.37 	 8.28 	 8.03 	     ~	     ~	A4/5IV/V       	  12	   0
177	d         	        1	CPD-52 2481                     	V* 	09 32 26.0866589225 -52 37 39.599207482	     ~	11.72 	10.86 	     ~	     ~	G8V(e)         	  11	   0
178	d         	        1	HD 83359                        	PM*	09 34 56.4587307563 -64 59 58.034972189	     ~	 8.47 	 8.01 	     ~	     ~	F5V            	  23	   0
179	d         	        1	HD 83356                        	*  	09 36 36.7045210049 -42 05 05.366279539	     ~	 9.67 	 9.29 	     ~	     ~	F3V            	   7	   0
180	d         	        1	TYC 7700-2419-1                 	*  	09 36 51.5278156421 -41 58 29.940154112	     ~	13.61 	12.19 	     ~	     ~	~              	   3	   0
181	cx        	        4	NAME Volans-Carina Association  	As*	09 37 00.0 -65 18 00                   	     ~	     ~	     ~	     ~	     ~	~              	   2	   0
182	d         	        1	TYC 7700-1309-1                 	*  	09 37 02.4288016456 -42 38 07.916962250	     ~	11.96 	11.24 	     ~	     ~	~              	   3	   0
183	d         	        1	HD 83948                        	PM*	09 38 45.2226533710 -66 51 32.671220449	     ~	 7.64 	 7.39 	     ~	     ~	A9IV/V         	  15	   0
184	d         	        1	TYC 8953-1289-1                 	PM*	09 39 10.4594804859 -66 46 15.535747032	     ~	11.95 	10.91 	     ~	     ~	~              	   5	   0
185	d         	        1	HD 297575                       	*  	09 42 12.2851012878 -51 03 09.390551176	     ~	10.30 	 9.78 	     ~	     ~	F8             	   4	   0
186	d         	        1	HD 84362                        	*  	09 42 31.8259707954 -60 05 29.106303544	     ~	 9.42 	 9.20 	     ~	     ~	A5IV           	   3	   0
187	d         	        1	TYC 8942-2267-1                 	*  	09 47 43.8190105473 -60 56 13.599779076	     ~	12.21 	11.57 	     ~	     ~	~              	   2	   0
188	d         	        1	TYC 8950-1447-1                 	PM*	09 48 19.2493443917 -64 03 21.794291555	     ~	12.04 	11.22 	     ~	     ~	~              	   4	   0
189	d         	        1	HD 85323                        	*  	09 50 01.5130331377 -40 10 08.418573259	     ~	 7.69 	 7.60 	     ~	     ~	A1/2V          	   7	   0
190	d         	        1	HD 85596                        	*  	09 50 37.8727563367 -60 31 39.680135306	     ~	 7.16 	 7.15 	     ~	     ~	A1IV           	   6	   0
191	d         	        1	HD 85594                        	*iC	09 51 10.8360512689 -53 10 58.730654584	     ~	 9.00 	 8.68 	     ~	     ~	F0/2IV         	  19	   0
192	d         	        1	HD 85662                        	*  	09 52 07.2994863651 -43 47 51.416368935	     ~	 8.78 	 8.50 	     ~	     ~	A9IV/V(m)      	  12	   0
193	d         	        1	TYC 8942-2165-1                 	*  	09 52 39.2251068598 -61 43 18.026930954	     ~	12.62 	12.14 	     ~	     ~	~              	   2	   0
194	d         	        1	TYC 8946-285-1                  	*  	09 52 49.7039887997 -62 06 34.704985480	     ~	12.74 	11.51 	     ~	     ~	~              	   3	   0
195	d         	        1	HD 86053                        	*  	09 53 35.5973403904 -64 11 32.534792380	     ~	 9.48 	 9.14 	     ~	     ~	A4mA5-A8       	   5	   0
196	d         	        1	CD-41 5432                      	*  	09 54 18.2175054925 -41 42 23.600240561	     ~	10.63 	10.03 	     ~	     ~	F8             	   3	   0
197	d         	        1	HD 86411                        	*  	09 56 05.3831201279 -63 06 36.886104571	     ~	 9.40 	 9.10 	     ~	     ~	A4V            	   5	   0
198	dx        	        3	HD 86703                        	*  	09 58 07.1478646481 -62 35 07.286623601	     ~	 7.82 	 6.88 	     ~	     ~	G5/6III        	   9	   0
199	d         	        1	HD 304882                       	*  	10 00 16.9140275428 -61 30 40.727560404	     ~	10.50 	10.09 	     ~	     ~	F8             	   3	   0
200	d         	        1	HD 87934                        	*  	10 06 09.7188053856 -63 55 39.748578382	     ~	 8.92 	 8.68 	     ~	     ~	A2V            	   3	   0
201	d         	        1	TYC 9210-1818-1                 	PM*	10 08 21.9951710598 -67 56 40.203842102	     ~	12.27 	11.60 	     ~	     ~	~              	   4	   0
202	d         	        1	CD-67 852                       	PM*	10 12 29.8985748754 -67 52 33.417918178	     ~	10.63 	 9.90 	     ~	     ~	~              	   3	   0
203	cdx       	        6	IC 2602                         	OpC	10 42 58.0 -64 24 00                   	     ~	     ~	     ~	     ~	     ~	~              	 535	   0
204	d         	        1	CD-70 760                       	*  	10 57 00.9296797012 -71 21 14.482775173	     ~	 8.28 	 8.22 	     ~	     ~	A0V            	   4	   0
205	cdx       	        7	NAME TW Hya Association         	As*	11 01 54.0 -34 42 00                   	     ~	     ~	     ~	     ~	     ~	~              	 780	   0
206	d         	        1	TYC 9220-3213-1                 	*  	11 04 40.9269964344 -71 40 13.395193391	     ~	12.06 	11.83 	     ~	     ~	~              	   3	   0
207	d         	        1	NGC 3532                        	OpC	11 05 39.0 -58 45 12                   	     ~	 3.28 	 3.0  	     ~	     ~	~              	 261	   0
208	d         	        1	TYC 9216-1951-1                 	*  	11 09 03.6745540564 -70 29 45.340318864	     ~	10.96 	10.50 	     ~	     ~	~              	   2	   0
209	d         	        1	HD 97535                        	Be*	11 12 05.49789 -71 13 02.8564          	     ~	 7.03 	 7.02 	     ~	     ~	B7Vn           	  16	   1
210	d         	        1	HD 97618                        	*  	11 12 29.8154527102 -71 44 57.773101532	     ~	 7.56 	 7.54 	     ~	     ~	B8V            	   7	   0
211	d         	        1	TYC 9233-453-1                  	*  	11 20 35.6806261106 -72 01 28.597318463	     ~	10.63 	10.15 	     ~	     ~	~              	   3	   0
212	d         	        1	HD 98878                        	*  	11 21 25.6095034803 -72 50 41.130330126	     ~	10.00 	 9.76 	     ~	     ~	A2V            	   3	   0
213	cdx       	        8	NAME eps Cha Association        	OpC	11 59 51.0 -78 12 24                   	     ~	     ~	     ~	     ~	     ~	~              	 109	   0
214	acdx      	       16	NAME Lower Centaurus Crux       	As*	12 19 00.0 -57 06 00                   	     ~	     ~	     ~	     ~	     ~	~              	 327	   1
215	d         	        1	HD 113491                       	*  	13 03 16.7046196674 +57 18 54.871329224	     ~	 9.65 	 9.10 	     ~	     ~	G              	   7	   0
216	d         	        1	NAME Stella Ludoviciana         	*  	13 24 51.8515834307 +54 53 50.838639269	     ~	 7.87 	 7.58 	     ~	     ~	A5             	  10	   0
217	dx        	        2	* 81 UMa                        	*  	13 34 07.3058483257 +55 20 54.363510733	     ~	 5.569	 5.588	     ~	     ~	A0V            	  69	   0
218	d         	        1	HD 234061                       	*  	13 41 36.5404173782 +53 20 15.102308932	     ~	10.38 	 9.67 	     ~	     ~	G0             	   3	   0
219	d         	        1	HD 234065                       	*  	13 43 07.7993822300 +54 01 33.309697880	     ~	10.30 	 9.67 	     ~	     ~	G5             	   2	   0
220	dx        	        2	HD 119765                       	*  	13 43 54.7783012972 +52 03 51.887829000	     ~	 6.027	 6.018	     ~	 5.98 	A1V            	  51	   0
221	dx        	        2	* 84 UMa                        	a2*	13 46 35.6568767342 +54 25 57.642548613	     ~	 5.632	 5.675	     ~	     ~	A0VpSrCrEu     	 138	   0
222	d         	        1	TYC 3851-600-1                  	*  	13 48 27.4400051196 +54 02 33.777947691	     ~	12.14 	11.05 	     ~	     ~	~              	   4	   0
223	d         	        1	TYC 4174-1117-1                 	*  	13 58 41.1377233304 +63 41 19.628556709	     ~	12.73 	11.83 	     ~	     ~	~              	   3	   0
224	d         	        1	HD 122866                       	*  	14 02 59.7578621026 +50 58 18.510167854	     ~	 6.16 	 6.15 	     ~	     ~	A2V            	  32	   0
225	d         	        1	TYC 3471-233-1                  	*  	14 07 49.2436131517 +51 57 09.642229885	     ~	12.51 	11.39 	     ~	     ~	~              	   3	   0
226	d         	        1	HD 124370                       	*  	14 10 53.0491911060 +62 31 19.946717219	     ~	 8.65 	 8.28 	     ~	     ~	F2IV           	  17	   0
227	d         	        1	HD 125019                       	*  	14 15 16.9963755157 +52 32 09.324375151	     ~	 6.642	 6.560	     ~	     ~	A4V            	  26	   0
228	d         	        1	HD 125259                       	*  	14 16 17.4467156661 +58 23 21.891507914	     ~	 8.97 	 8.52 	     ~	     ~	F5             	   6	   0
229	d         	        1	HD 125557                       	*  	14 18 31.1468424420 +52 01 59.956306978	 7.160	 7.060	 6.920	     ~	 6.74 	A2             	  11	   0
230	d         	        1	HD 125632                       	*  	14 18 55.9141698482 +54 51 49.599329946	 6.720	 6.660	 6.480	     ~	     ~	A5Vn           	  36	   0
231	d         	        1	HD 238351                       	*  	14 25 11.1407836594 +57 37 59.585314926	     ~	10.30 	 9.64 	     ~	     ~	G0             	   2	   0
232	cd        	       12	NAME beta Pic Moving Group      	MGr	14 30 00.0 -42 00 00                   	     ~	     ~	     ~	     ~	     ~	~              	 503	   0
233	d         	        1	TYC 4173-609-1                  	*  	14 39 16.8399837497 +61 55 52.585387930	     ~	11.22 	10.36 	     ~	     ~	~              	   3	   0
234	d         	        1	TYC 3860-1483-1                 	*  	14 39 26.3825694435 +54 46 26.641686286	     ~	10.54 	 9.83 	     ~	     ~	~              	   2	   0
235	d         	        1	HD 129865                       	*  	14 42 31.5916282392 +60 13 51.514212889	     ~	 8.46 	 8.11 	     ~	     ~	F0             	  21	   0
236	d         	        1	BD+56 1762                      	*  	14 48 02.8429912118 +56 09 33.140871697	     ~	10.88 	10.02 	     ~	     ~	G5             	   6	   0
237	d         	        1	TYC 3861-1374-1                 	*  	14 50 05.6780599340 +53 38 05.422064900	     ~	10.98 	10.34 	     ~	     ~	~              	   2	   0
238	d         	        1	TYC 3867-1373-1                 	*  	14 51 30.2579301551 +59 31 55.512046828	     ~	13.53 	12.02 	     ~	     ~	~              	   3	   0
239	d         	        1	BD+51 1966                      	*  	14 53 04.8320630821 +51 15 40.170937183	     ~	10.65 	10.01 	     ~	     ~	K2             	   3	   0
240	d         	        1	HD 133909                       	*  	15 04 17.6145224882 +59 32 06.193318323	 7.690	 7.600	 7.430	     ~	 7.21 	A2             	  12	   0
241	d         	        1	BD+60 1587                      	*  	15 04 25.7494959639 +59 52 50.817452920	     ~	10.40 	 9.62 	     ~	     ~	K2             	   4	   0
242	cdx       	        7	NAME Ursa Major Cluster         	ClG	15 08 48.0 +67 07 00                   	     ~	     ~	     ~	     ~	     ~	~              	 367	   0
243	d         	        1	HD 135501                       	*  	15 12 57.9058471657 +56 02 47.176250873	     ~	 7.71 	 7.52 	     ~	     ~	A2             	  10	   1
244	d         	        1	TYC 3868-177-1                  	*  	15 23 15.9068709329 +54 50 53.630156190	     ~	12.20 	11.28 	     ~	     ~	~              	   3	   0
245	cdx       	       22	NAME Upper Centaurus Lupus      	As*	15 24 00.0 -41 54 00                   	     ~	     ~	     ~	     ~	     ~	~              	 330	   1
246	d         	        1	TYC 3875-762-1                  	*  	15 27 41.6460222764 +59 59 13.346124829	     ~	11.92 	10.97 	     ~	     ~	~              	   3	   0
247	acdx      	       15	NAME Upper Sco Association      	As*	16 12 00.0 -23 24 00                   	     ~	     ~	     ~	     ~	     ~	~              	 918	   1
248	d         	        1	HD 145825                       	PM*	16 14 11.9123896278 -31 39 49.208930807	     ~	 7.21 	 6.54 	     ~	     ~	G3V            	  71	   0
249	cdx       	        7	NAME Ophiuchus Molecular Cloud  	SFR	16 28 06.0 -24 32 30                   	     ~	     ~	     ~	     ~	     ~	~              	2883	   0
250	x         	        2	V* V1062 Sco                    	a2*	16 38 30.9410761468 -39 09 08.390526654	     ~	 6.92 	 6.95 	     ~	     ~	ApSi           	  38	   0
251	d         	        1	TYC 9050-901-1                  	*  	16 43 53.0903033242 -67 14 57.694912134	     ~	10.87 	10.40 	     ~	     ~	~              	   2	   0
252	d         	        1	TYC 9275-1592-1                 	*  	16 49 37.7041815762 -69 18 01.858130478	     ~	12.12 	11.38 	     ~	     ~	~              	   2	   0
253	d         	        1	TYC 9050-754-1                  	*  	16 51 23.2628610111 -67 28 40.735664472	     ~	11.06 	10.49 	     ~	     ~	~              	   2	   0
254	d         	        1	CPD-67 3230                     	*  	16 51 52.5383130602 -68 04 29.159405782	     ~	10.17 	 9.86 	     ~	     ~	~              	   2	   0
255	d         	        1	HD 152167                       	*  	16 56 32.8626234764 -66 06 32.292681086	     ~	 8.05 	 7.92 	     ~	     ~	A0V            	   5	   0
256	d         	        1	HD 152102                       	*  	16 56 39.3853640421 -68 21 07.617742220	     ~	 9.54 	 9.29 	     ~	     ~	A6III          	   3	   0
257	d         	        1	TYC 9279-2048-1                 	*  	16 58 33.8172910258 -70 14 30.711704444	     ~	12.84 	12.23 	     ~	     ~	~              	   3	   0
258	d         	        1	HD 152513                       	*  	16 58 55.0316092109 -67 47 16.718966011	     ~	 9.39 	 9.22 	     ~	     ~	A5IV           	   3	   0
259	d         	        1	TYC 9051-124-1                  	*  	16 59 37.1900439008 -66 59 05.222829366	     ~	12.57 	12.09 	     ~	     ~	~              	   2	   0
260	d         	        1	TYC 9279-1772-1                 	*  	16 59 52.5958663820 -70 10 28.889871625	     ~	11.72 	11.09 	     ~	     ~	~              	   3	   0
261	d         	        1	TYC 9275-963-1                  	*  	17 02 05.2849 -68 11 56.518            	     ~	12.07 	11.60 	     ~	     ~	~              	   3	   0
262	d         	        1	CD-68 1783                      	*  	17 02 38.8228205007 -68 36 44.287008917	     ~	10.42 	 9.96 	     ~	     ~	~              	   3	   0
263	d         	        1	HD 153125                       	*  	17 03 01.7807241532 -68 37 47.401705003	     ~	 8.44 	 8.37 	     ~	     ~	A1V            	   4	   0
264	d         	        1	HD 153263                       	*  	17 03 34.5331953954 -67 53 13.137145410	     ~	 9.06 	 8.90 	     ~	     ~	A2Vs           	   3	   0
265	d         	        1	CPD-68 2874                     	*  	17 04 05.4842959363 -68 11 37.482838949	     ~	10.30 	10.00 	     ~	     ~	~              	   3	   0
266	d         	        1	HD 153492                       	*  	17 05 46.9036365922 -70 23 53.309236806	     ~	 9.41 	 9.18 	     ~	     ~	A3mA5-A7       	   5	   0
267	d         	        1	TYC 9064-2249-1                 	*  	17 10 01.3516528451 -66 53 20.503406910	     ~	12.31 	11.85 	     ~	     ~	~              	   2	   0
268	d         	        1	TYC 9275-3434-1                 	*  	17 11 18.9164264725 -68 06 38.887685874	     ~	12.88 	11.77 	     ~	     ~	~              	   3	   0
269	d         	        1	TYC 9280-112-1                  	*  	17 13 43.8405119234 -69 58 57.327825881	     ~	11.68 	11.19 	     ~	     ~	~              	   2	   0
270	d         	        1	TYC 9276-2997-1                 	*  	17 14 51.3830390229 -68 51 06.873209806	     ~	11.38 	10.76 	     ~	     ~	~              	   2	   0
271	d         	        1	NGC 6475                        	OpC	17 53 51.0 -34 47 36                   	     ~	 3.45 	 3.3  	     ~	     ~	~              	 325	   0
272	d         	        1	NGC 6633                        	OpC	18 27 31.2 +06 34 12                   	     ~	 5.01 	 4.6  	     ~	     ~	~              	 313	   0
273	cdx       	        8	NAME CrA Dark Cloud             	MoC	19 01 51.0 -36 58 54                   	     ~	     ~	     ~	     ~	     ~	~              	 380	   0
274	d         	        1	TYC 3579-1214-1                 	*  	20 52 20.1946841773 +48 43 26.124687641	     ~	10.41 	 9.97 	     ~	     ~	~              	   5	   0
275	d         	        1	HD 199290                       	*  	20 54 26.0238008078 +48 55 47.327540506	     ~	 8.19 	 7.95 	     ~	     ~	F2Ib           	  19	   0
276	d         	        1	HD 200177                       	** 	21 00 06.6117178723 +48 40 45.980200422	     ~	 7.35 	 7.34 	     ~	     ~	B9p            	  46	   0
277	d         	        1	BD+48 3261                      	*  	21 00 33.3182566573 +48 42 56.063292907	     ~	 9.53 	 9.13 	     ~	     ~	F2             	   6	   0
278	d         	        1	HD 203245                       	*  	21 19 28.7504084346 +49 30 37.062759934	 5.11 	 5.61 	 5.74 	     ~	     ~	B6V            	  61	   0
279	d         	        1	M 39                            	OpC	21 31 48.0 +48 26 00                   	     ~	 4.66 	 4.6  	     ~	     ~	~              	 185	   0
280	d         	        1	HD 221087                       	*  	23 27 13.7904786252 +79 32 30.971163830	     ~	 8.55 	 8.36 	     ~	     ~	A2             	   2	   0
281	d         	        1	BD+77 924                       	*  	23 47 58.0617376098 +78 22 33.907503200	     ~	10.34 	 9.83 	     ~	     ~	F8             	   6	   0
282	d         	        1	HD 224228                       	PM*	23 56 10.6732720614 -39 03 08.409993692	 9.977	 9.21 	 8.225	 7.669	 7.194	K2V            	  58	   0
283	acdx      	       44	NAME AB Dor Moving Group        	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	 317	   0
284	cd        	        6	NAME Carina-near Moving Group   	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  41	   0
285	cd        	        7	NAME Upper CrA                  	As*	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	   3	   0
286	cd        	        6	NAME Octans Association         	As*	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  55	   0
287	cdx       	        9	NAME Coma Berenices Moving Group	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  50	   0
288	dx        	        3	NAME IC 2391 Moving Group       	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  22	   0
289	cdx       	        9	NAME Carina Association         	As*	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  85	   1
================================================================================

