ID,EPIC,RA,Dec,Gmag,Kmag,pmRA,e_pmRA,pmDE,e_pmDE,plx[mas],e_plx,f_plx,pmRAc,pmDEc,Pmem,RotPer[d],Ref
Pleiades,210905362,03 42 24.00,+21 28 24.6,9.66,8.53,20.99,0.15,-47.97,0.09,7.8,0.2,0,20.5,-44.8,100,2.3787,
Pleiades,210907442,03 52 24.57,+21 30 22.7,15.02,11.48,18.98,2.05,-46.03,2.05,7.8,1.1,1,19.3,-45.2,100,1.8182,
Pleiades,210908248,03 55 03.59,+21 31 10.1,17.43,13.46,25.25,2.05,-46.51,2.05,7,1,1,19,-45.3,99,,
Pleiades,210909681,03 33 26.46,+21 32 29.8,13.68,11.21,19.5,2.13,-38.01,2.13,4.9,0.7,1,21.5,-44.6,61,,
Pleiades,210909844,03 58 55.69,+21 32 38.7,15.22,11.84,28.91,2.05,-52.79,2.05,5.9,0.8,1,18.6,-45.4,11,,
Pleiades,210909923,03 56 04.54,+21 32 42.6,14.89,11.16,21.66,2.05,-48.17,2.05,13.5,1.9,1,18.9,-45.3,87,0.4704,
Pleiades,210912544,04 01 26.04,+21 35 09.0,15.94,12.26,21.36,2.05,-41.59,2.05,7.7,1.1,1,18.3,-45.5,99,1.1983,
Pleiades,210913953,03 50 09.52,+21 36 30.8,12.55,9.74,11.56,2.25,-38.16,2.25,10.4,1.4,1,19.6,-45.1,26,,
Pleiades,210914325,03 58 50.05,+21 36 53.3,17.52,13.19,18.14,2.51,-46.52,2.51,10.5,1.4,1,18.6,-45.4,99,,
Pleiades,210915466,03 49 22.51,+21 37 56.4,16.61,12.66,13.03,2.05,-38.28,2.05,9.8,1.4,1,19.7,-45.1,59,0.4171,
Pleiades,210917578,03 59 29.32,+21 39 56.4,17.69,13.61,19.1,2.51,-45.06,2.51,6.6,0.9,1,18.5,-45.4,100,,
Pleiades,210917754,03 51 42.09,+21 40 06.0,11.22,9.45,18.37,1.41,-43.12,0.66,7.2,0.3,0,19.4,-45.2,100,5.4447,
Pleiades,210918923,03 46 16.07,+21 41 10.1,17.66,13.73,18.07,2.6,-47.12,2.6,6.3,0.9,1,20.1,-45,100,< 2.,
Pleiades,210919084,03 52 45.66,+21 41 19.6,15.54,11.96,16.56,2.05,-46.61,2.05,7.2,1,1,19.3,-45.2,100,1.1461,
Pleiades,210920066,03 45 09.88,+21 42 16.5,9.8,8.59,21.02,0.71,-47.71,0.75,6.8,0.9,1,20.2,-45,100,2.9317,
Pleiades,210920246,03 52 48.69,+21 42 28.1,13.78,10.66,16.18,2.05,-50.79,2.05,8,1.1,1,19.3,-45.2,100,0.553,
Pleiades,210922592,03 47 34.16,+21 44 48.5,11.88,9.9,17.78,1.33,-46.55,1.33,6.2,0.9,1,19.9,-45.1,100,7.5554,
Pleiades,210922602,03 45 46.93,+21 44 49.4,16.91,12.82,22.53,2.1,-55.81,2.1,9.5,1.3,1,20.1,-45,87,0.1958,
Pleiades,210923443,03 52 04.37,+21 45 39.2,17.38,13.29,18.3,2.51,-42.98,2.51,7.7,1.1,1,19.4,-45.2,100,0.8865,
