ID,EPIC,RA,Dec,Gmag,Kmag,pmRA,e_pmRA,pmDE,e_pmDE,plx[mas],e_plx,f_plx,pmRAc,pmDEc,Pmem,RotPer[d],Ref
Hyades,210718930,04 23 56.68,+18 38 20.2,15.25,11.49,89.64,2.21,-28.26,2.2,17.4,2.4,1,114.7,-27.2,99,2.4191,
Hyades,210725815,04 20 25.11,+18 44 33.4,6,5.16,113.7,0.04,-34.21,0.02,22.9,0.7,0,124.8,-28.7,100,,
Hyades,210733938,04 25 51.73,+18 51 50.6,7.3,5.89,107.86,0.57,-38.17,0.28,22.6,0.9,0,118.8,-29.6,100,,
Hyades,210736105,04 20 27.63,+18 53 49.8,13.78,10.22,107.38,2.13,-41.27,2.13,24,3.3,1,117.2,-27.4,99,20.3105,
Hyades,210741091,04 25 14.56,+18 58 24.9,11.76,8.71,97.06,2.46,-28.51,2.46,19.9,2.8,1,113.7,-28.4,99,10.9678,
Hyades,210742017,04 24 30.59,+18 59 12.8,14.73,10.78,111.47,2.2,-35.04,2.2,28.8,4,1,114.2,-28.3,99,,
Hyades,210742592,04 04 12.81,+18 59 44.6,14.84,11.06,109.98,2.07,-27.08,2.07,21.7,3,1,128.8,-24.9,99,0.8037,
Hyades,210743724,04 25 41.84,+19 00 47.6,13.5,10.13,85.23,2.2,-28.26,2.2,15.5,2.1,1,113.4,-28.6,97,,
Hyades,210744677,04 06 20.65,+19 01 39.0,14.29,10.47,111.31,2.07,-31.33,2.07,29.1,4,1,127.3,-25.3,97,0.4812,
Hyades,210744818,04 17 25.15,+19 01 47.7,10.24,7.91,113.66,0.77,-30.46,0.77,19.8,2.7,1,119.4,-27.3,100,12.8433,
Hyades,210745602,04 24 57.13,+19 02 31.2,5.87,,105.19,0.04,-34.49,0.02,20.3,0.8,0,107.3,-26.9,100,< 2.,
Hyades,210754620,04 24 20.95,+19 10 50.7,14.93,11.13,107.78,2.2,-40.06,2.2,20.3,2.8,1,114.4,-28.9,100,,
Hyades,210758134,04 20 12.97,+19 14 00.5,7.29,6.12,114.65,0.05,-35.07,0.05,23.2,0.7,0,126.4,-30.5,100,,
Hyades,210769813,04 00 15.59,+19 24 36.5,14.47,10.7,123.09,2.06,-36.86,2.06,24.8,3.4,1,131.5,-25.3,99,1.8626,
Hyades,210771915,04 05 25.67,+19 26 31.8,10.73,8.11,122.02,0.24,-32.64,0.16,21.1,0.4,0,125.4,-25.8,99,13.8499,
Hyades,210772796,04 03 39.04,+19 27 18.0,9.7,7.6,122.15,0.18,-33.42,0.12,20.9,0.3,0,125.1,-25.2,100,11.6032,
Hyades,210786154,04 23 22.85,+19 39 31.2,9.04,7.15,98.4,0.52,-33.44,0.63,16.5,1.3,0,88.2,-23.1,99,10.017,
Hyades,210815169,03 30 31.22,+20 05 55.2,9.99,,163.92,1.32,-55.52,1.33,33.6,4.6,1,150.6,-20.8,20,,
Hyades,210815471,03 30 30.43,+20 06 11.8,8.07,6.54,161.69,0.13,-57.98,0.06,26.8,0.2,0,187.7,-26,100,,
Hyades,210827030,04 07 03.25,+20 16 50.9,14.45,10.56,167.15,2.07,-46.63,2.07,29,4,1,126.8,-29,95,,
Hyades,210835395,04 04 27.04,+20 24 30.4,14.16,10.32,118.92,2.08,-37.12,2.07,31.1,4.3,1,128.6,-28.8,97,,
Hyades,210839963,03 52 20.75,+20 28 41.2,,11.98,149.2,5.2,-41.1,5.2,45.3,6.3,4,136.8,-26.6,33,< 2.,
Hyades,210865372,03 43 47.09,+20 51 36.3,13.12,9.61,138.67,2.34,-38,2.34,26.9,3.7,1,142.4,-25.7,98,12.3168,
Hyades,210865436,04 10 33.75,+20 51 39.3,12.2,9.26,98.4,6.3,-21.3,6.1,15.5,2.1,1,124.3,-31.3,95,,
Hyades,210888551,03 46 34.01,+21 12 46.2,12.75,9.7,97.1 2,0,-50.0 1,1.2,14.6,2,1,140.6,-27.2,20,,
Hyades,210941195,03 59 14.19,+22 02 37.9,11.89,8.7,149.55,2.24,-44.09,2.24,24.8,3.4,1,132.2,-32.2,99,20.7309,
Hyades,210942311,03 36 19.95,+22 03 41.3,15,11.33,105.64,3.69,-25.88,3.69,17.5,2.4,1,147,-27,81,,
Hyades,210942999,03 34 10.58,+22 04 21.2,14.37,10.48,190.68,2.13,-43.3,2.13,30.9,4.3,1,148.4,-26.5,77,1.8088,
Hyades,210963067,04 12 47.36,+22 23 27.0,14.16,10.16,119.39,2.08,-41.51,2.08,38.1,5.3,1,122.7,-36,83,1.8443,
Hyades,210966863,04 14 30.42,+22 27 06.7,6.93,6.01,92.69,0.04,-32.49,0.02,15.6,0.7,0,88.3,-26.6,100,,
Hyades,210976212,03 59 51.83,+22 36 13.4,13.55,10.15,108.34,2.08,-35.09,2.08,16.4,2.3,1,131.7,-33.9,98,,
Hyades,211019716,04 18 10.79,+23 17 04.8,9.06,6.94,93.58,1.07,-38.81,0.64,18.7,0.2,0,103.1,-34.4,99,1.8626,
Hyades,211026112,03 59 26.62,+23 23 07.6,14.44,10.65,133.99,2.08,-44.59,2.08,26.2,3.6,1,132,-35.9,99,1.3183,
Hyades,211037886,04 14 32.32,+23 34 29.8,7.85,6.52,119.82,0.08,-48.3,0.05,22.2,0.3,0,125.2,-41,100,,
Hyades,211041649,04 11 56.22,+23 38 10.8,8.88,6.41,145.84,0.54,-52.05,0.73,26.2,1.7,0,150.2,-47.9,100,2.3094,
Hyades,211049709,04 08 36.21,+23 46 07.0,9.12,7.32,119.8,1.11,-43.43,0.72,21.2,0.3,0,124,-38.5,100,9.3908,
Hyades,211058178,03 51 03.11,+23 54 13.1,9.7,7.4,152.53,0.17,-48.1,0.09,24.6,0.3,0,157,-40.2,100,12.5745,
Hyades,211088189,04 14 50.19,+24 22 37.5,15.5,11.59,106.08,2.07,-47.48,2.07,18.5,2.6,1,121.3,-42.1,99,,
Hyades,211137806,03 52 42.71,+25 12 26.0,16.02,12.06,135.57,2.15,-49.56,2.15,15.3,2.1,1,136.5,-39.1,83,14.3802,
Hyades,211169647,03 52 41.02,+25 48 16.2,10.46,7.89,140.71,1.12,-51.81,0.55,22.4,0.3,0,141.8,-42.2,99,14.6609,
Hyades,211201094,03 59 09.65,+26 28 34.4,10.73,7.89,140.03,3.04,-63.16,0.83,27.2,0.8,0,167.3,-55.7,88,15.2565,
Pleiades,210552485,03 46 38.22,+16 15 13.1,15.88,12.23,19.56,2.1,-39.51,2.1,6.7,0.9,1,20,-43.8,40,< 2.,
Pleiades,210562819,03 38 10.47,+16 24 47.9,16.43,12.73,25.5,2.1,-43.88,2.1,6.4,0.9,1,21,-43.6,42,,
Pleiades,210673842,03 56 46.92,+17 59 42.9,11.99,9.88,23.01,0.92,-40.69,0.92,7.5,1,1,18.8,-44.5,47,,
Pleiades,210674000,03 33 15.93,+17 59 51.8,13.16,10.94,20.8,2.21,-45.33,2.21,4.9,0.7,1,21.5,-43.9,29,,
Pleiades,210696739,03 25 24.41,+18 18 57.0,13.2,10.59,24.12,2.29,-43.78,2.29,6.8,0.9,1,22.4,-43.7,84,,
Pleiades,210696763,03 31 20.30,+18 18 58.4,15.16,11.72,13.74,2.23,-48.38,2.23,7.5,1,1,21.7,-43.9,14,,
Pleiades,210704834,03 46 32.63,+18 25 55.2,17.08,13.19,17.24,2.1,-36.66,2.1,6.3,0.9,1,20,-44.3,58,,
Pleiades,210707640,03 59 54.67,+18 28 21.5,15.57,12.1,13.61,2.06,-41.94,2.06,6.4,0.9,1,18.4,-44.7,76,,
Pleiades,210713788,03 57 49.74,+18 33 44.7,11.16,9.45,20.16,0.92,-46.98,0.44,7.7,0.3,0,18.7,-44.7,99,,
Pleiades,210715961,03 28 38.21,+18 35 41.8,17.81,13.53,27.16,2.73,-46.88,2.73,8.5,1.2,1,22,-43.9,76,,
Pleiades,210720772,03 51 32.25,+18 39 58.6,17.05,13.03,20.88,2.13,-52.54,2.13,8.6,1.2,1,19.4,-44.5,83,< 2.,
Pleiades,210724826,04 01 36.55,+18 43 42.3,,11.52,16.36,2.11,-40.05,2.11,11.6,1.6,4,18.2,-44.8,18,,
Pleiades,210727363,04 19 06.21,+18 45 57.3,14.59,11.32,17.09,2.07,-45.48,2.07,7.2,1,1,16.1,-45.2,12,,
Pleiades,210736056,03 37 35.45,+18 53 47.1,16.12,12.67,19.02,2.15,-43.85,2.15,4.9,0.7,1,21.1,-44.2,62,,
Pleiades,210743589,03 56 57.16,+19 00 39.1,,14.09,34.7,5.1,-47.4,5.1,9.3,1.3,4,18.8,-44.8,19,,
Pleiades,210754915,03 44 28.08,+19 11 06.0,11.44,9.42,19.31,0.84,-40.53,0.92,8.9,1.2,1,20.3,-44.5,97,0.5332,
Pleiades,210756421,03 43 35.52,+19 12 25.8,12.71,10.78,24.46,2.1,-45.89,2.1,4.5,0.6,1,20.4,-44.4,13,,
Pleiades,210762863,03 44 11.91,+19 18 19.3,14.15,11.05,15.31,2.1,-44.43,2.1,6.6,0.9,1,20.3,-44.5,98,7.4885,
Pleiades,210769047,03 56 23.92,+19 23 53.8,16.75,12.89,16.2,2.08,-39.09,2.08,8,1.1,1,18.9,-44.8,90,0.6439,
Pleiades,210769751,03 53 26.93,+19 24 33.0,13.42,10.07,24.16,2.08,-49.93,2.08,13.1,1.8,1,19.2,-44.8,30,,
Pleiades,210770541,03 53 24.07,+19 25 17.0,14.89,11.29,19.41,2.08,-50.78,2.08,10.5,1.4,1,19.2,-44.8,88,,
Pleiades,210776021,03 55 13.61,+19 30 16.9,15.29,11.72,20.26,2.08,-46.75,2.08,7.9,1.1,1,19,-44.8,99,2.4272,
Pleiades,210776486,03 59 28.41,+19 30 41.4,16.66,12.6,22.21,2.06,-40.51,2.06,10.7,1.5,1,18.5,-44.9,52,,
Pleiades,210779549,03 45 01.66,+19 33 33.7,9.26,8.15,21.29,0.65,-42.95,0.37,7.4,0.4,0,20.2,-44.5,100,0.9368,
Pleiades,210784223,03 55 15.74,+19 37 46.5,12.53,9.98,23.42,2.3,-54.08,2.3,8.9,1.2,1,19,-44.9,73,0.2684,
Pleiades,210791550,03 59 16.64,+19 44 27.6,16.51,12.7,15.23,2.06,-41.94,2.06,7.6,1,1,18.5,-45,97,0.3727,
Pleiades,210796589,03 31 52.94,+19 49 02.8,12.48,10.31,26.22,2.23,-40.39,2.23,6.3,0.9,1,21.7,-44.2,93,,
Pleiades,210802674,03 40 32.37,+19 54 30.4,17.25,13.28,15.05,2.65,-41.56,2.65,7.1,1,1,20.7,-44.5,98,< 2.,
Pleiades,210803812,03 39 10.20,+19 55 31.0,15.93,12.21,22.76,2.19,-37.06,2.19,8,1.1,1,20.9,-44.4,90,1.7999,
Pleiades,210804032,03 44 47.29,+19 55 41.8,17.88,13.92,21.59,2.66,-43.16,2.66,5.8,0.8,1,20.2,-44.6,99,,
Pleiades,210804191,03 56 49.95,+19 55 49.5,15.59,12.01,17.14,2.08,-41.12,2.08,6.8,0.9,1,18.8,-45,99,1.0307,
Pleiades,210808112,04 08 40.80,+19 59 28.6,14.28,11.06,21.04,2.07,-38.09,2.07,8.4,1.2,1,17.4,-45.3,15,,
Pleiades,210811598,04 06 28.61,+20 02 38.0,16.2,12.42,18.18,2.07,-45.72,2.07,8.3,1.2,1,17.6,-45.3,97,< 2.,
Pleiades,210813780,03 39 31.47,+20 04 40.8,14.89,11.7,20.1,2.15,-51.8,2.15,5.6,0.8,1,20.8,-44.5,92,15.783,
Pleiades,210815768,03 49 35.75,+20 06 29.0,17.03,12.92,21.08,2.08,-46.42,2.08,10.5,1.5,1,19.7,-44.8,99,0.2999,
Pleiades,210817106,03 43 18.74,+20 07 44.8,16.13,12.49,12.51,2.1,-44.73,2.1,7,1,1,20.4,-44.6,93,,
Pleiades,210818448,03 42 29.87,+20 09 0.0,8.34,7.65,19.94,0.06,-44.76,0.04,7.7,0.5,0,20.5,-44.6,100,,
Pleiades,210822528,03 42 58.59,+20 12 45.2,16.96,12.95,18.47,2.59,-41.7,2.59,8.6,1.2,1,20.4,-44.6,99,0.9149,
Pleiades,210826886,03 47 22.76,+20 16 43.5,16.16,12.67,18.57,2.08,-41.46,2.08,4.9,0.7,1,19.9,-44.8,90,,
Pleiades,210826887,03 51 54.64,+20 16 43.5,14.85,11.31,3,9.9,-29.4,9.6,9.6,1.3,1,19.4,-44.9,38,,
Pleiades,210829407,03 50 28.40,+20 19 01.2,15.87,12.27,18.16,2.08,-40.69,2.08,6.4,0.9,1,19.6,-44.9,99,,
Pleiades,210830104,03 50 33.85,+20 19 38.8,18.44,14,23.32,2.55,-50.08,2.55,7.2,1,1,19.6,-44.9,100,1.128,
Pleiades,210832378,03 42 13.89,+20 21 44.0,16.62,12.79,21.64,2.1,-48.16,2.1,8.4,1.2,1,20.5,-44.6,100,0.4656,
Pleiades,210833049,04 01 04.13,+20 22 21.4,14.44,10.91,18.35,2.06,-52.96,2.06,10.6,1.5,1,18.3,-45.2,67,5.3682,
Pleiades,210833622,03 49 56.06,+20 22 52.8,16.45,12.63,21.09,2.08,-55.71,2.08,9.8,1.4,1,19.6,-44.9,62,1.0465,
Pleiades,210833924,03 47 54.93,+20 23 08.2,16.18,12.45,18.23,2.11,-41.08,2.08,9.3,1.3,1,19.9,-44.8,99,,
Pleiades,210833947,04 08 55.39,+20 23 09.6,9.23,8.11,19.01,0.1,-50.11,0.06,8,0.4,0,17.3,-45.4,90,< 2.,
Pleiades,210837175,03 43 15.80,+20 26 10.1,12.86,10.79,11.6,4.5,-36.2,5.9,5.1,0.7,1,20.4,-44.7,33,,
Pleiades,210837336,03 52 08.81,+20 26 18.8,11.44,9.14,19.96,0.92,-50.63,0.92,11.6,1.6,1,19.4,-44.9,88,,
Pleiades,210839388,04 04 08.44,+20 28 09.6,14.13,10.86,14.73,2.07,-52.23,2.07,8.4,1.2,1,17.9,-45.3,82,3.4652,
Pleiades,210840112,03 53 58.12,+20 28 49.7,14.28,10.92,18.47,2.08,-45.06,2.08,8.6,1.2,1,19.2,-45,100,0.4077,
Pleiades,210846442,03 56 11.34,+20 34 30.2,15.39,11.84,22.39,2.08,-49.11,2.08,7.8,1.1,1,18.9,-45.1,100,1.1199,
Pleiades,210847165,04 10 37.07,+20 35 08.2,16.47,12.74,19.43,2.07,-42.43,2.07,6.7,0.9,1,17.1,-45.5,89,,
Pleiades,210849741,03 55 26.07,+20 37 25.9,11.98,10.24,25.84,2.08,-50.7,2.08,4.9,0.7,1,19,-45.1,18,,
Pleiades,210854098,03 40 51.06,+20 41 17.6,17.91,13.71,20.04,2.59,-45.57,2.59,7.5,1,1,20.7,-44.6,100,0.3451,
Pleiades,210855272,03 50 24.95,+20 42 18.1,13.85,10.94,13.7,2.08,-44.83,2.08,6.1,0.8,1,19.6,-44.9,99,17.597,
Pleiades,210857107,03 55 22.37,+20 43 57.9,16.89,12.87,24.91,2.08,-43.32,2.08,9.2,1.3,1,19,-45.1,96,< 2.,
Pleiades,210860152,03 48 11.41,+20 46 42.7,16.15,12.24,20.03,2.08,-47,2.08,11.5,1.6,1,19.8,-44.9,98,0.6299,
Pleiades,210862226,03 42 29.70,+20 48 40.1,16.23,12.43,18.12,2.1,-50.41,2.1,8.5,1.2,1,20.5,-44.7,99,1.2913,
Pleiades,210863662,04 05 50.36,+20 49 59.4,17.53,13.48,27.1,2.07,-44.64,2.07,7,1,1,17.7,-45.4,35,,
Pleiades,210863683,03 53 43.02,+20 50 00.5,13.82,10.76,18.94,2.08,-47.99,2.08,7.6,1,1,19.2,-45.1,100,2.7826,
Pleiades,210866482,03 52 11.21,+20 52 33.9,16.44,12.6,22.84,2.08,-48.32,2.08,8.5,1.2,1,19.4,-45,100,0.3228,
Pleiades,210866744,03 46 19.34,+20 52 47.2,11.26,9.52,20.42,0.19,-44.13,0.14,7.2,0.3,0,20.1,-44.9,100,5.9344,
Pleiades,210868554,03 53 28.87,+20 54 26.6,11.55,9.51,19.42,0.68,-44.62,0.36,7.5,0.2,0,19.2,-45.1,100,< 2.,
Pleiades,210868642,03 50 50.80,+20 54 31.7,15.6,12.2,24.98,2.08,-55.83,2.08,5.4,0.7,1,19.5,-45,19,,
Pleiades,210870064,03 54 16.33,+20 55 48.2,17.75,13.69,18.78,2.55,-48.13,2.55,6.1,0.8,1,19.1,-45.1,100,,
Pleiades,210870456,04 06 55.64,+20 56 10.9,16.44,12.64,11.6,2.07,-39.65,2.07,8.1,1.1,1,17.6,-45.5,42,< 2.,
Pleiades,210870563,04 08 31.73,+20 56 17.1,11.02,9.33,15.18,1.83,-40.21,1.08,6.3,0.3,0,17.4,-45.5,65,,
Pleiades,210871940,03 53 31.56,+20 57 27.2,16.68,12.92,22.67,2.08,-54.78,2.08,6.9,0.9,1,19.2,-45.1,95,0.2773,
Pleiades,210872505,03 40 35.32,+20 57 56.8,14.67,11.3,20.75,2.1,-48.06,2.1,7.5,1,1,20.7,-44.7,100,0.534,
Pleiades,210873256,03 54 13.52,+20 58 38.7,17.56,13.56,13.79,2.55,-50.99,2.55,6.7,0.9,1,19.1,-45.1,98,0.3425,
Pleiades,210876759,03 43 05.72,+21 01 49.5,16.97,13.07,18.8,2.1,-52.87,2.1,6.8,0.9,1,20.4,-44.8,99,0.4336,
Pleiades,210877263,03 46 29.72,+21 02 17.1,16.52,12.55,22.11,2.1,-52.8,2.1,10.1,1.4,1,20,-44.9,96,0.3183,
Pleiades,210878635,03 51 16.61,+21 03 35.1,16.18,12.38,20.2,2.13,-51.41,2.13,8.3,1.1,1,19.5,-45,100,0.4748,
Pleiades,210879932,03 55 31.94,+21 04 46.2,10.84,9.17,21.55,1.08,-50.4,0.55,8.2,0.3,0,19,-45.2,99,5.5586,
Pleiades,210880560,03 52 58.35,+21 05 20.4,16.8,12.55,16.66,2.08,-48.16,2.08,12.8,1.8,1,19.3,-45.1,89,0.4317,
Pleiades,210881103,03 46 09.88,+21 05 52.8,15.87,12.25,18.12,2.1,-42.92,2.1,7.3,1,1,20.1,-44.9,100,0.4625,
Pleiades,210882573,03 56 22.30,+21 07 17.2,15.64,12.02,19.04,2.08,-48.24,2.08,7.1,1,1,18.9,-45.2,100,0.6128,
Pleiades,210883020,04 01 09.04,+21 07 40.5,15.22,11.78,16.29,2.06,-37.53,2.06,6,0.8,1,18.3,-45.4,81,< 2.,
Pleiades,210886244,03 55 57.53,+21 10 39.0,15.38,11.76,16.69,2.14,-46.46,2.14,8.5,1.2,1,18.9,-45.2,100,0.5959,
Pleiades,210886447,03 47 31.13,+21 10 51.5,16.69,12.82,17.31,2.08,-50.5,2.08,8.3,1.2,1,19.9,-45,100,0.5596,
Pleiades,210887995,03 59 42.66,+21 12 15.4,17.08,13.03,17.2,2.06,-46.25,2.06,8.6,1.2,1,18.5,-45.3,100,0.547,
Pleiades,210888723,03 40 49.39,+21 12 55.7,16.4,12.49,19.55,2.1,-46.77,2.1,8.8,1.2,1,20.7,-44.7,100,3.7501,
Pleiades,210890748,03 45 31.99,+21 14 48.1,7.73,7.31,20.55,0.06,-47.73,0.04,7.8,0.4,0,20.1,-44.9,100,,
Pleiades,210892321,03 59 31.45,+21 16 18.8,15.35,11.84,18.83,2.05,-48.15,2.05,6.7,0.9,1,18.5,-45.3,100,0.7319,
Pleiades,210892390,03 55 39.50,+21 16 22.0,14.16,10.9,18.04,2.13,-38.95,2.13,8,1.1,1,19,-45.2,98,1.4066,
Pleiades,210892842,03 49 26.14,+21 16 49.4,13.32,10.36,20.27,2.05,-54.55,2.05,8.6,1.2,1,19.7,-45,96,,
Pleiades,210894583,03 49 51.80,+21 18 26.3,14.33,10.92,16.92,2.08,-46.08,2.08,9.3,1.3,1,19.6,-45.1,100,0.4722,
Pleiades,210899950,03 54 27.83,+21 23 23.1,10.71,9.18,19.2,0.22,-47.14,0.13,7.4,0.3,0,19.1,-45.2,100,4.548,
Pleiades,210901240,03 50 27.31,+21 24 35.8,16.83,12.93,19.32,2.51,-33.32,2.51,8,1.1,1,19.6,-45.1,51,,
Pleiades,210901321,03 48 48.22,+21 24 40.8,16.43,12.64,20.25,2.08,-46.93,2.08,8.1,1.1,1,19.8,-45,100,0.6231,
Pleiades,210902186,03 46 25.40,+21 25 30.5,12.14,9.78,18.72,2.3,-46.88,2.3,9.7,1.3,1,20,-45,100,,
Pleiades,210904018,04 00 33.58,+21 27 10.4,17.28,13.34,20.26,2.51,-36.05,2.51,6.8,0.9,1,18.4,-45.4,80,< 2.,
Pleiades,210904675,03 46 05.80,+21 27 46.0,13.54,10.83,27.11,2.1,-42.45,2.1,6.2,0.9,1,20.1,-45,98,,
