,cluster,distance
101,,2.8072735453361495
102,,8.748595696189238
103,,15.14254038048308
104,,7.19068841250736
105,,9.924132857353108
106,,6.785162087613962
107,,11.434681948605284
108,,18.503177623162347
109,,33.6744905413442
110,,17.733442793185286
111,,50.723864454006794
112,,11.946984692443085
113,,1.46088316018217
114,,13.38812194118373
115,,18.85225679198889
116,,13.076517539289016
117,,132.56133905088154
118,,2.8378911580337842
119,,7.935196931571737
120,,12.828656829692353
122,,7.77468842268462
123,,3.1055163962450165
125,,2.51550282387501
126,,84.51772500868124
127,,11.593186558992732
128,,10.068207390315388
129,,8.542846516714121
130,THA,6.371908514244191
132,,14.882076775729878
133,,6.7560703115629765
134,,8.405509136098086
135,,4.534175455899015e-06
136,,9.859507834012932
139,,2.236037739678594
140,,15.98385753223094
141,THA,4.891753910595744
142,,9.600167853116023
143,,12.531079469332884
144,,5.174731590756384
145,,23.68977473511
146,,54.44029743457423
147,Oh_104,120.02217809999016
148,,21.3710951557741
149,,11.207072779545074
150,,16.111373079164988
151,,3.6691612879393887
155,,4.9756533094911415
157,,13.105624176944053
158,ESO_236-07,100.47509134977251
159,,16.94485988584026
161,,
163,,7.266785516550519
166,,9.673701150211588
167,,10.438574945504836
168,,11.688830875316405
169,,14.347837358763343
170,,28.289613012673563
171,,5.176843604613185
172,,28.455504450399722
173,,14.697210550986817
174,,5.407310872065404
175,,6.110293188015833
176,,5.878333361863842
177,,3.9961754919066985
178,,9.630452362938085
179,,4.928175444898724
181,,13.39390801546706
183,,9.441304347574144
185,,13.798579977673244
186,,5.987978593961525
190,,4.281280251474866
191,,11.784289842046483
192,,4.467655243395845
193,,8.79820289166525
195,,12.788883691458015
196,,6.9315831250254885
197,,6.679268816328867
198,CARN,6.242087232998261
199,,14.67491498348089
200,,3.2331062700727773
201,Oh_56,9.58630442059317
202,,153.5967965765338
203,THA,5.015267714810863
204,,13.429563224106777
205,,12.701716826630475
206,,6.26916929472644
208,,6.353153117659895
209,,2.450674487035178
210,,6.412310751812861
212,,
213,THA,6.684588238567294
214,,7.232869370761437
215,,9.476081976191368
216,,7.404763029648373
218,THA,6.353131238564976
220,,4.817288925528492
221,THA,9.307787128099404
223,,15.25241295851309
225,,9.217318672925954
227,,10.244799281321672
228,Blanco_1,23.239950366246386
229,,14.51376526863556
230,,11.263451823175812
231,,15.253703527420166
232,,20.379172080719837
233,,2.0668161599262884
234,Blanco_1,13.02369367984684
235,,8.688889247945037
237,BPMG,6.960220332789477
238,,5.789496782883282
239,,20.683543130676806
240,,8.221526862042417
241,,14.151594403378665
244,,2.946832764137823
245,,3.1065246057632825
246,,8.904351222521086
247,,20.64376266002322
248,,8.828385862519275
249,,8.052357182252392
250,,12.726551585685039
251,,14.995223307752475
252,,11.719488135168625
253,THA,8.018396479611239
255,NGC_7826,196.6349475191179
256,CARN,6.34291473605605
257,,11.446796649105567
259,,9.942735026191839
260,CARN,6.67892715111819
261,,10.870547066091353
262,,4.945868330502803
263,,23.294618840914463
264,,28.076135220865265
265,,1.964297408492073
266,,13.60764837630244
267,,2.30186460358631
268,,17.93333095859133
269,,9.59337433629721
270,,2.2915185137934504
271,,9.134359939948071
272,,17.436065306392653
274,,4.860374281021517
277,,14.937700748803236
278,,9.910053553965428
279,,7.758606750041286
280,,5.477904149933415
281,,3.4376857297788592
282,,10.116106931394294
283,,4.308473147500034
285,,9.182952489069722
286,,5.20715165335634
287,,15.62604980123354
288,,10.66514997005546
289,,15.797290046394963
290,Blanco_1,306.144636361362
291,,89.07086586159228
292,,19.96250476385297
294,,12.328575426590906
295,,37.91671084684971
296,,19.508849740419045
297,,9.579724818433377
298,Blanco_1,253.15204628881278
299,,23.687460946582164
301,Blanco_1,151.26694854386105
302,,8.31232715455714
303,,38.15764134134995
304,ESO_245-09,104.14598437410166
305,ESO_245-09,114.91049291685808
306,,31.95206641218171
307,NGC_7826,144.78237277669743
309,,
310,,81.44333097623955
312,,28.645919482289298
314,,10.988695061130827
315,,78.03362547517969
