TIC ID,PATHOS ID,Cluster,RA (deg),Dec. (deg),Period (day),T0 (BTJD),Rp/R*,Note,T_14,T_14(15p),T_14(84p),G (mag),parallax (mas),GOF_AL,AEN_sig
30654608,2,Muzzio 1,134.3845,-47.8477,2.4955,1519.662,0.048,,0.120276,,,11.2327,0.519071122472857,7.57,0
39291805,3,NGC 2112,88.7164,-0.0484,7.1719,1469.033,0.19,,0.153509,-0.015647,0.024105,16.0683,0.896387935098592,0.15,0.61
42524156,4,ASCC 88,256.8882,-35.5036,10.013,1631.474,0.125,,0.168851,-0.021037,0.039205,10.9042,1.15018616865371,15.53,0.32
80317933,5,Collinder 292,237.9156,-57.2797,3.2098,1625.529,0.232,,0.191158,-0.015335,0.019807,13.3413,0.632027355652334,-2.62,0
81353413,35,Gamma Vel,119.8064,-49.9737,2.0865,1492.869,0.132,,0.131867,-0.007888,0.01272,15.2036,2.9289890566489,2.4,1.74
81419525,36,Gamma Vel,123.0857,-47.09,1.5498,1518.383,0.053,TOI-508,0.110182,-0.004769,0.004713,9.5761,2.85851814740658,21.76,10.38
88977253,6,NGC 2548,123.0977,-5.7687,2.7677,1492.708,0.146,TOI-496,0.107965,-0.012585,0.03135,,,,
92835691,7,SAI 91,129.1193,-50.1497,22.3661,1527.825,0.214,,0.284739,-0.03346,0.05457,15.2706,0.234703590769559,-2.72,0
94589619,8,NGC 2437,115.7338,-14.581,12.0829,1496.198,0.187,,0.196576,-0.021009,0.043604,14.1439,0.623812606628627,-1.85,0
95003423,37,Lupus,123.1082,-46.1091,1.5268,1630.461,0.202,,0.116022,-0.004361,0.004997,12.4288,6.8696860035276,82.8,137.89
123755508,38,Gamma Vel,115.8048,-47.7691,15.2869,1492.575,0.128,,0.192381,-0.007132,0.007537,13.3043,2.46430810635482,-1.03,0
125414447,9,NGC 2323,105.7303,-8.4369,3.7069,1493.2,0.229,,0.099714,-0.004299,0.00562,,,,
126600730,10,Haffner 14,116.0772,-28.3253,6.2991,1497.305,0.102,,0.138519,,,15.9648,0.214472201632196,-1.46,0
144995073,11,NGC 2669,131.4641,-52.9284,20.0207,1518.823,0.24,,0.236921,-0.018321,0.039652,14.1737,0.828906745992914,-3.56,0
147069011,12,Alessi 8,232.8684,-51.1783,7.327,1628.559,0.448,,0.233373,-0.01705,0.015692,13.0319,1.50166501462335,-1.29,0
147426828,13,NGC 2318,104.8768,-13.2535,1.4618,1492.845,0.221,,0.097973,-0.007316,0.013416,,,,
153734545,14,NGC 2527,121.2402,-28.1462,3.2196,1493.665,0.187,,0.169175,,,,,,
153735144,15,NGC 2527,121.1537,-28.2948,3.7785,1493.406,0.178,,0.172289,-0.017232,0.017726,,,,
159059181,16,NGC 2112,88.3711,0.4239,5.2167,1471.198,0.162,,0.14369,-0.016317,0.038331,15.0601,0.835630686254498,2.53,2.1
181602717,17,NGC 2671,131.7366,-41.9773,2.4557,1517.489,0.246,,0.111102,-0.007658,0.010434,,,,
236084210,18,ASCC 85,251.5388,-45.3214,5.3465,1631.974,0.182,,0.132802,-0.00932,0.01508,,,,
238235254,39,Gamma Vel,229.0334,-38.8754,5.5705,1497.2,0.127,,0.148733,-0.004099,0.004388,6.3161,2.3133856302934,34.47,28.08
238379370,40,Gamma Vel,242.5224,-31.4072,27.1769,1511.748,0.079,,0.17531,-0.015818,0.017193,12.8245,2.59791410182413,11.28,0.05
300362600,19,NGC 5316,208.3975,-62.0764,11.6556,1602.169,0.213,,0.32258,-0.033648,0.035003,,,,
306385801,20,NGC 3532,166.6553,-58.8608,14.0367,1575.028,0.11,,0.294572,-0.043306,0.057175,9.5139,2.05101146790091,14.87,0
307610438,41,Lupus,242.1278,-38.4742,1.5615,1601.955,0.072,TOI-831,0.111362,-0.004465,0.004811,,,,
