#ticID,gaiaID,ra,dec,p,pErr,t0Fit,t0FitErr,periodBLS,duration,durationErr,denFit,denFitErr,u1,u1Err,u2,u2Err,const,constErr,chir,deltarho,trdepth,rmsoot,ar,arErr,b,bErr,i,iErr,t12t14,t12t14Err,rpj,rpjErr,rpe,rpeErr,rank1,rank2,rank3,rank4,prf,pd,peta,t0Lin,t0LinErr,periodLin,periodLinErr,alpha,beta,teff,teffErr,radius,radiusErr,mass,massErr,rho,rhoErr,contratio,tmag,vmag,gmag,rv,rvErr,nrv,srv,gofAl,astroExcess,astroExcessSig,snI,snII,snIII,snOE,snOEfit,r2oot,q,sde,sdeAl,p2pio,p2ps,r,ntr,apnum,btier,bitmask,mult
282502866,3315129988421802624,90.08601210580059,1.792204632783,0.132,0.034,1462.4236,0.0007,7.40066,0.088,0.003,2.1,0.52,0.24,0.0,0.31,0.0,0.0,0.000132,2.05,3.39,13455.0,0.00014199999999999998,18.26,1.06,0.9,0.12,87.17,0.2,0.5,0.0,2.0,0.6,21.98,6.63,1,1,1,1,84.2,98.82,56.38,1462.4376,0.0,7.39652,0.0,0.0,0.0,6200.0,132.2,1.52,0.07,1.19,0.17,0.34,0.08,0.39,7.43,7.917999999999999,7.795,,,,,4.096,0.0,0.0,162.86,1.202,2.418,0.0,0.0,0.552,0.011000000000000001,4.396,2.5,23.619,1.824,1.405,2,2,5,0,1
281731203,3807826337147474176,163.032311872456,0.49316695919020004,0.053,0.006,1535.039,0.002,11.63954,0.222,0.012,0.44,0.18,-0.56,1.73,1.55,2.1,5.2e-05,5.2e-05,0.958,1.439,3133.0,0.00038700000000000003,14.71,0.89,0.58,0.09,87.75,0.54,0.06,0.05,0.92,0.15,10.04,1.62,1,1,1,1,100.0,96.57,88.09,1535.0345,0.0,11.63733,0.0,0.0,0.0,5466.0,125.59,1.74,0.09,0.96,0.12,0.18,0.04,2.19,9.962,10.612,10.459000000000001,3.281,0.516,4.0,0.804,1.5219999999999998,0.0,0.0,27.949,0.647,1.6780000000000002,2.95,0.589,0.308,0.015,3.4530000000000003,1.982,1.569,1.024,0.93,2,2,3,0,1
422655579,2507901914613005056,29.263450589425602,0.75882469707,0.067,0.002,1413.1342,0.0011,2.9058,0.229,0.007,0.06,0.03,0.3,0.24,0.31,0.0,1.2e-05,3.6e-05,0.932,1.439,4551.0,0.000523,3.04,0.37,0.76,0.04,75.55,2.88,0.12,0.03,1.43,0.12,15.67,1.27,1,1,1,1,100.0,98.15,77.3,1413.1433,0.0038,2.90464,0.00073,0.00195,0.00213,6180.0,113.15,2.14,0.1,1.18,0.16,0.12,0.03,0.08,10.164,10.56,10.568,8.191,0.573,6.0,1.099,6.077999999999999,0.0,0.0,37.812,0.392,1.048,0.35600000000000004,0.27699999999999997,0.034,0.061,4.258,2.367,0.915,1.002,1.383,4,2,4,0,1
452808876,3231856379348299008,72.6605916082039,1.8938364880488998,0.079,0.004,1436.2571,0.0005,2.70628,0.218,0.004,0.14,0.03,0.06,0.73,0.53,1.09,1.6e-05,4.8e-05,1.047,0.102,6860.0,0.000605,3.75,0.15,0.52,0.08,82.12,1.86,0.08,0.03,1.65,0.16,18.12,1.79,1,1,1,1,100.0,88.13,73.81,1436.2589,0.0006,2.7059,0.0001,-0.000495,0.000188,6441.56,145.84,2.1,0.11,1.3,0.21,0.14,0.04,0.47,9.539,10.073,9.898,-23.285,0.341,6.0,0.631,12.013,0.0,0.0,75.998,0.927,2.12,0.16899999999999998,0.0,0.01,0.071,6.581,3.6310000000000002,0.639,0.993,1.661,10,2,3,0,1
328350926,3267099712746602240,46.9317098313056,0.8609223332064999,0.102,0.015,1413.2984,0.0002,0.84898,0.063,0.001,0.3,0.03,0.01,0.17,0.26,0.0,-1e-06,2.3e-05,0.7879999999999999,0.386,6223.0,0.000328,2.25,0.05,0.97,0.02,64.52,0.88,0.5,0.0,1.46,0.28,16.03,3.12,1,1,1,1,100.0,99.79,80.5,1413.2983,0.0004,0.84905,2.9999999999999997e-05,-0.000193,4.6e-05,5580.0,129.32,1.44,0.07,0.99,0.12,0.33,0.07,1.19,8.301,8.918,8.76,,,,,7.6160000000000005,0.0,0.0,79.779,0.4,1.4869999999999999,0.018000000000000002,0.8490000000000001,0.005,0.05,10.719000000000001,6.354,1.4340000000000002,1.041,0.9940000000000001,20,2,5,0,1
270380593,2514360548993901312,32.782085005710805,2.4181937296,0.07,0.007,1410.2912,0.0007,3.83854,0.103,0.005,1.57,0.58,0.77,1.09,-0.42,1.44,4.5e-05,5.6e-05,1.002,0.35600000000000004,5237.0,0.00044800000000000005,10.7,0.84,0.58,0.07,86.88,0.92,0.08,0.05,0.59,0.1,6.47,1.1,1,1,1,1,99.8,99.58,86.77,1410.2981,0.0008,3.83669,0.00021,-0.000515,0.00049,4936.0,122.62,0.85,0.06,0.81,0.1,1.33,0.34,0.16,10.731,11.559000000000001,11.323,9.301,0.615,9.0,1.4480000000000002,7.0920000000000005,0.0,0.133,42.378,0.621,3.2680000000000002,0.322,0.0,0.022000000000000002,0.019,7.233,4.302,1.765,1.077,0.589,5,1,3,0,1
251061007,2499926121689571072,36.459647729125706,-1.027377413906,0.052,0.008,1411.4815,0.0016,2.62055,0.095,0.01,0.66,0.39,0.83,0.76,0.31,0.0,-4e-06,6.5e-05,1.0270000000000001,1.242,2578.0,0.000517,6.21,1.11,0.78,0.06,82.81,1.9,0.11,0.09,1.03,0.22,11.32,2.4,1,1,1,1,100.0,94.46,74.96,1411.4847,0.0026,2.62051,0.00042,-0.000742,0.000886,6554.0,120.4,2.0,0.1,1.36,0.23,0.17,0.04,5.61,10.222000000000001,10.64,10.547,4.262,1.807,5.0,3.218,14.841,0.132,4.73,17.012999999999998,1.253,2.6689999999999996,1.228,0.442,0.083,0.022000000000000002,7.047999999999999,3.6180000000000003,0.794,0.981,0.9670000000000001,6,2,4,0,1
251087387,2500158019858962944,37.6165824762385,-0.5312526871611,0.069,0.008,1411.3022,0.0009,3.0253,0.149,0.007,0.58,0.17,1.07,0.28,0.28,0.0,3e-05,6.6e-05,0.9840000000000001,1.402,7434.0,0.000625,6.55,0.25,0.35,0.19,86.97,0.84,0.05,0.05,0.7,0.12,7.7,1.36,1,1,1,1,100.0,96.2,77.37,1411.3059,0.0028,3.02451,0.0005099999999999999,-0.002484,0.001085,5713.0,124.58,1.02,0.06,1.02,0.13,0.95,0.2,5.23,10.509,11.158,10.96,-25.612,1.587,2.0,1.786,6.0729999999999995,0.0,0.0,48.376999999999995,0.03,1.975,0.8809999999999999,0.177,0.038,0.031,6.402,3.955,1.643,1.026,0.828,8,2,2,0,1
50618703,3220926542276901888,82.29007164748259,-0.34289825299840004,0.029,0.003,1468.2093,0.0015,1.54825,0.048,0.005,2.06,3.09,0.49,0.0,0.17,0.0,2e-06,2.5e-05,0.995,0.064,796.0,0.000269,6.39,1.65,0.82,0.05,82.63,2.1,0.08,0.11,0.19,0.04,2.1,0.41,1,1,1,1,80.8,99.91,61.7,1468.2088,0.003,1.54846,0.00033999999999999997,-0.000745,0.000628,4220.0,122.86,0.66,0.06,0.66,0.08,2.26,0.71,0.99,9.65,10.777000000000001,10.414000000000001,7.901,0.37200000000000005,8.0,0.802,5.66,0.0,0.0,11.505,1.1179999999999999,2.845,0.495,0.47100000000000003,0.001,0.023,10.004,6.172000000000001,1.12,1.033,0.179,13,2,5,0,1
262746281,585634394426727680,141.10785420990368,5.7660562325877,0.045,0.005,1507.6188,0.0023,16.18532,0.266,0.01,0.34,0.17,1.51,0.74,-1.36,0.81,-7e-06,3.5e-05,1.246,0.544,2143.0,0.000266,16.84,1.53,0.58,0.07,88.02,0.79,0.05,0.03,0.73,0.12,8.0,1.26,1,1,1,1,97.0,95.76,86.06,1507.6053,0.0,16.18541,0.0,0.0,0.0,5900.75,129.58,1.63,0.08,1.07,0.14,0.25,0.05,9.56,9.742,10.312000000000001,10.164,31.456999999999997,0.9390000000000001,4.0,1.4880000000000002,4.473,0.0,0.0,28.459,0.0,1.994,0.747,0.141,0.0,0.013999999999999999,2.8560000000000003,2.3890000000000002,1.268,1.0659999999999998,0.696,2,1,3,0,1
