TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
355703913,111.01,,5,5,5,5,5,5,5,35.9,75.1,1,0,1,KP,KP,13.183,0.006,,1,spoc,00:03:05.88,-62:28:09.54,2.8939999999999997,0.024,4.9110000000000005,0.025,2458326.106369,0.001084,2.106098,6.9e-05,1.5747659999999999,0.083967,13.580831,0.57385,12430.502967,528.39557,16.683676000000002,14.132685,,,30.581211,508.842,3.8960000000000004,5380.0,,4.4337,,0.98,,0.245387,0.0875268,0.95,,"1,2",2018-10-22,2020-10-02,2021-08-19 00:00:00,HATS-34
388104525,112.01,,5,5,5,5,5,5,5,90.4,178.6,1,0,3,KP,KP,11.6035,0.006,,1,spoc,03:43:44.07,-65:11:37.61,21.125999999999998,0.032,16.543,0.043,2459307.332998,0.00045685822,2.49973852094542,7.0677204e-05,2.8686589430560603,0.035676,15.969183,0.14813199999999999,14600.5241178523,136.4257,13.841795560964101,0.7231211,907.891995939268,1400.0008404688401,104.74484,302.448,2.004,5650.0,,4.28867,,1.13732004165649,0.0577764,,,1.0,0.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37",2019-05-07,2021-07-09,2021-08-19 00:00:00,WASP-119 b
97409519,113.01,,5,5,5,5,5,5,5,60.3,67.8,0,0,1,KP,KP,12.1893,0.006,,1,spoc,22:10:51.44,-30:44:58.99,-0.71,0.052000000000000005,-14.515999999999998,0.049,2458327.053085,0.0006230000000000001,3.3728769999999995,0.000147,2.63426,0.043644,18.796923,0.23064099999999998,17163.604190000002,212.40587000000002,14.201803,0.154789,615.165921,1270.1874480000001,81.3,448.63699999999994,7.507999999999999,6050.0,,4.45061,,1.02,,,,1.17,0.16258,1,2018-09-05,2020-10-27,2021-08-19 00:00:00,WASP-124
25155310,114.01,,5,5,5,5,5,5,5,62.2,165.0,0,0,3,KP,KP,10.6103,0.006,,1,spoc,04:13:29.93,-69:13:35.73,63.13399999999999,0.045,53.433,0.039,2459363.4883479998,0.0005290785299999999,3.28879480801427,0.00012834104,3.47401075432214,0.04460388,7.5227699999999995,0.071707,6904.779164985661,66.04261,10.5914861929623,0.542401,759.335819903038,1338.83858881827,101.966774,216.52599999999998,0.932,5800.0,,4.2800400000000005,,1.2417500019073502,0.0610804,0.20683,0.045809300000000004,1.01,0.12335499999999999,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",2019-05-07,2021-09-16,2021-10-07 12:08:52,WASP-126 b
281541555,115.01,,5,5,5,5,5,5,5,21.2,71.7,0,0,0,KP,KP,13.0417,0.006,,1,spoc,00:26:48.63,-56:18:57.97,21.46,0.027000000000000003,7.316,0.024,2458329.902014,0.0007677445,4.74237847689397,7.232835e-06,2.5318097944897002,0.08469697,13.397881,0.327952,12264.0798734605,302.0094,10.3896303272875,0.25180125,209.76945749602,970.633582799196,34.751255,453.80800000000005,3.8939999999999997,5377.0,185.0,4.42476,2.00401,0.877584993839264,,,,0.96,,"1,2,28,29",2018-10-22,2021-10-07,2021-10-08 12:04:18,HATS-46 b
238176110,116.01,,5,5,5,5,5,5,5,115.9,249.0,0,0,3,KP,KP,11.0443,0.006,,1,spoc,23:51:23.14,-70:09:10.3,96.185,0.040999999999999995,-1.7469999999999999,0.038,2459037.5284599997,0.00025644005,2.798685585146,5.0033482999999995e-05,2.3314430782521605,0.02303469,18.128744,0.10092999999999999,16558.5650088904,92.95573,11.7113683858728,0.7255674,332.53954997703,1089.13214401496,175.47505,149.942,0.5175,4920.0,,4.49371,,0.9066549999999999,0.0553769,0.32,0.08,0.81,0.0958693,"27,28",2018-09-05,2020-10-05,2021-08-19 00:00:00,WASP-91
322307342,117.01,,5,5,5,5,5,5,5,40.2,43.7,0,0,1,KP,KP,11.7806,0.006,,1,spoc,01:00:01.46,-58:54:17.01,22.522,0.049,7.593999999999999,0.040999999999999995,2459063.655791,0.001190335,3.58629619986471,0.00015300933000000002,3.37109429721186,0.07846477,6.238423,0.124633,5729.3246858085795,114.78426,16.4747610755407,0.9191712,1787.5955936892701,1658.39152023611,32.356964000000005,603.955,10.2025,5704.8,124.8,3.84,0.08,2.00441002845764,0.105699,-0.25,0.0707107,1.02,0.12405899999999999,"1,2,28,29",2018-09-05,2021-10-07,2021-10-08 12:04:18,HATS-68 b
266980320,118.01,,2,5,5,4,4,2,4,16.2,112.1,4,4,5,CP,CP,9.179,0.006,,1,spoc,23:18:14.22,-56:54:14.35,313.918,0.039,-20.177,0.043,2459083.50855,0.00123,6.0344568778117695,9.861900000000001e-06,2.2074495679722004,0.07949392,1.7117900000000001,0.05081,1575.3742210935998,46.796479999999995,4.76439594576057,0.28572459999999994,224.023747780315,957.0,29.534899,94.1719,0.2512,5586.0,187.0,4.36763,0.27024699999999996,1.05167996883392,0.0549497,,,0.97,0.120939,"1,28",2018-09-05,2021-10-07,2021-10-08 12:04:18,HD 219666 b
278683844,119.01,,1,5,5,5,3,1,4,4.3,57.2,4,45,1,PC,PC,9.2789,0.006,,1,qlp,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2459380.4261950003,0.0010384,5.541106299999999,1.15e-05,2.481,0.396,0.532141,0.000168,490.0,0.154407,1.96744,0.122824,235.18900000000002,1090.0,43.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-07,2021-08-19,2021-09-10 12:05:07,Some depth-aperture correlation. TFOP work in progress. Multi candidate. Centroid offset but not centered on another star.
278683844,119.02,,4,5,5,5,3,4,4,2.2,38.7,4,45,1,PC,PC,9.2789,0.006,,2,qlp,06:36:57.22,-58:00:58.15,51.497,0.042,-205.6,0.049,2459375.8356,0.0017629000000000002,10.6917564,3.18e-05,2.96,0.267,0.45610500000000004,0.000175,420.0,0.160976,1.72548,0.1093,42.4314,711.0,30.0,66.6187,0.1003,5332.0,184.0,4.56429,0.272717,0.82,0.05,,,0.86,0.102503,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39",2019-05-17,2021-08-26,2021-09-10 12:05:07,outer candidate in potential multi
